"id","lat","lon"
"7,311",16.43070325,-95.0268919444
"7,946",16.4295474167,-95.0246647222
"9,847",16.4292923889,-95.0175388056
"7,630",16.4326648611,-95.03014925
"8,264",16.4321711389,-95.0240066944
"8,581",16.4316804444,-95.0210999444
"9,215",16.4288286667,-95.0221625556
"9,531",16.4283569722,-95.0225249444
"8,899",16.4360348611,-95.0175433056
"9,849",16.4295615278,-95.0175245556
"7,314",16.4310780833,-95.0268910833
"7,949",16.4299302778,-95.0246675
"9,533",16.4279775,-95.02254525
"8,584",16.4315554722,-95.0211004722
"9,218",16.428693,-95.0221765
"9,851",16.4298318056,-95.0175086111
"7,634",16.4322605278,-95.0301505278
"8,268",16.4324228611,-95.0240176944
"8,902",16.4355851111,-95.0175426944
"9,535",16.4276003056,-95.0225666944
"7,317",16.4314647222,-95.0268896667
"7,952",16.4299113333,-95.0240876944
"8,269",16.4327116944,-95.0240141944
"9,853",16.4300999167,-95.01749425
"8,587",16.4312889167,-95.0211012222
"9,221",16.4282925,-95.0222174722
"9,537",16.4273450278,-95.0225803056
"8,905",16.4353338889,-95.0175422778
"9,855",16.4303691667,-95.0174796389
"7,320",16.4319394722,-95.0268914444
"7,638",16.4318588889,-95.0301514167
"7,955",16.4294606944,-95.0241044167
"9,539",16.4270876667,-95.0225943333
"7,639",16.4314562778,-95.0301528056
"8,273",16.4329852778,-95.0240109167
"8,590",16.4310011944,-95.0211011944
"9,224",16.4281573611,-95.0222315
"9,857",16.4306246667,-95.0174648611
"8,908",16.4350914167,-95.0175428611
"9,541",16.4267001667,-95.0226160278
"7,323",16.4323233056,-95.0268888056
"7,958",16.429061,-95.02410425
"9,859",16.4308105556,-95.0174545278
"7,642",16.4310535556,-95.0301542778
"8,276",16.4332573056,-95.0240130833
"8,593",16.4311060278,-95.0205311111
"9,227",16.4277606389,-95.02227325
"9,543",16.4263321667,-95.0226363611
"8,911",16.4347029167,-95.0175434167
"9,861",16.4307683056,-95.01688975
"7,326",16.4328194444,-95.0268876389
"9,545",16.4259524167,-95.0226571111
"7,645",16.4305203333,-95.03015575
"7,962",16.4285570556,-95.0241062222
"8,279",16.4335228889,-95.0240050556
"8,596",16.4313252778,-95.0205323333
"9,230",16.4274915833,-95.0223014444
"9,863",16.430422,-95.0169285
"8,914",16.4344506111,-95.0175440278
"9,547",16.4256961667,-95.0226704444
"7,329",16.4332113611,-95.0268876667
"7,964",16.4281799722,-95.0241068056
"9,865",16.4300757778,-95.0169483889
"8,282",16.4338118611,-95.0240096667
"8,599",16.4315919444,-95.0205304167
"9,233",16.4272235,-95.0223293611
"9,549",16.4253139167,-95.022691
"7,331",16.4336423889,-95.0268862222
"7,649",16.4301169444,-95.0301568056
"8,917",16.4338121667,-95.0175457778
"9,867",16.4295925833,-95.0169733889
"7,967",16.4277813056,-95.0241088333
"9,235",16.4269570278,-95.0223573333
"9,551",16.4250573611,-95.0227050833
"8,285",16.4340791944,-95.0240026944
"8,602",16.4319070556,-95.0205319722
"9,869",16.42934725,-95.0169865833
"8,920",16.4336865556,-95.0175461111
"9,553",16.4249334722,-95.0227111667
"7,335",16.4340937778,-95.0268866667
"7,653",16.4297616111,-95.0301563889
"7,970",16.4273794167,-95.0241094444
"9,238",16.4266872222,-95.0223862778
"9,871",16.4290960833,-95.0169993056
"7,654",16.42978025,-95.0307575
"8,288",16.4343449444,-95.0240028333
"8,605",16.4322458333,-95.0205234722
"9,555",16.4247977778,-95.0233076111
"8,923",16.4332986944,-95.0175473056
"7,336",16.4344343611,-95.0268869722
"7,973",16.42697825,-95.0241102222
"9,241",16.4264227222,-95.0224128333
"9,557",16.4252158056,-95.0232808333
"9,874",16.42871625,-95.0170199167
"7,339",16.4348895,-95.0268819444
"7,657",16.4302564167,-95.0307450278
"8,291",16.4346151389,-95.0240016111
"8,608",16.4325570556,-95.0205223889
"8,926",16.4330481389,-95.0175479722
"9,559",16.425492,-95.0232661944
"9,876",16.4284561944,-95.0170344167
"9,244",16.4261541667,-95.0224405278
"7,977",16.4265747778,-95.0241119444
"8,294",16.4349061389,-95.0240036667
"8,611",16.4309837778,-95.0204910556
"9,878",16.4282074167,-95.0170481667
"7,343",16.4353323056,-95.0268813889
"7,661",16.4307096389,-95.0307451111
"8,929",16.4327817222,-95.0175486389
"9,562",16.4256290556,-95.02325825
"7,979",16.4261765833,-95.0241137222
"9,247",16.4258867222,-95.0224685833
"9,880",16.4279518611,-95.0170611389
"8,297",16.4351997778,-95.0240010278
"8,614",16.4312976667,-95.0204821111
"9,564",16.4258648056,-95.02324475
"7,346",16.435779,-95.02688
"8,932",16.4325180833,-95.0175488056
"9,565",16.4262544722,-95.0232252222
"9,882",16.427694,-95.0170750278
"7,665",16.4311009167,-95.0307443611
"7,982",16.4257728889,-95.0241153333
"9,883",16.4274381111,-95.0170888056
"8,300",16.4354579722,-95.02400225
"8,617",16.4315588611,-95.0204826111
"9,251",16.4256258056,-95.0224958056
"8,935",16.4322549444,-95.0175488889
"9,568",16.4265253889,-95.0232099444
"9,885",16.4270625278,-95.0171103889
"7,350",16.4361096667,-95.0268741111
